,ï»¿id,scrape_id,host_id,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
3868,42178642.0,20200000000000.0,334812277,100,1,1,37.79109,-122.44214,6,3.0,4.0,4.0,455.0,30,180,30.0,30.0,1125.0,1125.0,30.0,1125.0,25,44,74,348,2,2,0,5.0,4.5,5.0,5.0,5.0,5.0,4.5,1,1,0,0,0.4
3884,42807849.0,20200000000000.0,107434423,97,4774,5310,37.772587,-122.393081,4,2.0,2.0,2.0,321.0,31,1125,31.0,366.0,1125.0,1125.0,349.1,1125.0,0,0,0,254,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,138,138,0,0,1.3186045268223134
3885,42814290.0,20200000000000.0,14380818,0,1,3,37.7878,-122.44031,4,2.0,3.0,2.0,295.0,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0,0,0,0,0,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,1,1,0,0,1.3186045268223134
3888,42856533.0,20200000000000.0,90349994,100,1,3,37.73865,-122.48404,6,2.0,3.0,3.0,214.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,11,33,59,59,79,44,2,4.68,4.59,4.61,4.86,4.91,4.82,4.54,1,1,0,0,3.65
3892,41593366.0,20200000000000.0,29188701,81,2,2,37.75284,-122.46719,4,2.0,2.0,2.0,325.0,3,90,3.0,3.0,90.0,90.0,3.0,90.0,0,0,0,0,18,8,0,4.94,5.0,5.0,5.0,4.94,4.72,4.89,2,1,1,0,0.48
3899,41685917.0,20200000000000.0,226555948,97,67,86,37.72602,-122.40253,9,2.0,4.0,5.0,349.0,30,120,30.0,30.0,120.0,120.0,30.0,120.0,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,14,3,11,0,0.03
3904,41698721.0,20200000000000.0,107434423,97,4774,5310,37.78753,-122.421312,4,2.0,2.0,2.0,284.0,31,1125,360.0,360.0,1125.0,1125.0,360.0,1125.0,0,0,0,0,1,1,0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,138,138,0,0,0.09
3907,41784672.0,20200000000000.0,107434423,97,4774,5310,37.78014,-122.40384,4,2.0,2.0,2.0,229.0,31,1125,31.0,366.0,1125.0,1125.0,354.2,1125.0,0,30,60,335,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,138,138,0,0,1.3186045268223134
3909,42226441.0,20200000000000.0,218110608,72,5,9,37.80485,-122.42161,6,2.0,2.0,2.0,1000.0,1,30,1.0,1.0,30.0,30.0,1.0,30.0,29,55,84,84,6,2,1,5.0,4.83,5.0,5.0,4.67,5.0,4.83,5,3,2,0,0.27
3917,42353772.0,20200000000000.0,2475480,80,5,5,37.78477,-122.48158,4,2.0,2.0,2.0,225.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,3,3,31,306,5,2,0,5.0,5.0,5.0,5.0,5.0,4.8,5.0,5,5,0,0,0.21
