,id,scrape_id,host_id,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
5313,30043171,20230329041210,65419540,91,1,1,19.35252,-99.15226,10,3.0,4.0,6.0,3590.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,6,24,46,229,54,16,3,4.98,5.0,4.98,5.0,4.98,5.0,4.98,1,1,0,0,1.04
5318,30180920,20230329041210,101508636,99,20,20,19.40532,-99.17601,4,2.0,2.0,2.0,3921.0,1,365,1.0,2.0,365.0,1125.0,1.7,465.6,29,59,89,206,162,23,1,4.91,4.98,4.98,4.97,4.93,4.96,4.85,20,18,2,0,3.13
5319,30043309,20230329041210,207171317,100,2,3,19.40271,-99.25364,10,8.0,5.0,6.0,56744.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,29,59,89,364,3,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,2,0,0,0.07
5322,30771837,20230329041210,168432036,97,2,2,19.41137,-99.16396,4,2.0,2.0,2.0,2225.0,2,30,2.0,2.0,1125.0,1125.0,2.0,1125.0,10,40,70,341,133,27,0,4.83,4.92,4.74,4.92,4.92,4.98,4.89,2,2,0,0,2.55
5330,30182015,20230329041210,104293933,100,38,39,19.37312,-99.16304,1,2.0,1.0,1.0,391.0,1,120,1.0,1.0,1125.0,1125.0,1.0,1125.0,22,50,80,355,121,38,4,4.91,4.95,4.89,4.93,4.94,4.99,4.92,2,0,2,0,2.29
5332,30799600,20230329041210,230418692,100,1,1,19.28588,-99.13359,1,6.0,7.0,7.0,400.0,7,1125,7.0,7.0,1125.0,1125.0,7.0,1125.0,30,60,90,365,4,0,0,4.0,4.0,4.5,4.25,4.5,4.5,3.75,1,0,1,0,0.08
5340,30818696,20230329041210,230537503,100,3,3,19.36711,-99.23136,4,2.0,3.0,3.0,1199.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,29,59,89,364,12,2,0,4.36,4.55,4.73,4.64,4.36,4.27,4.45,3,3,0,0,0.24
5343,30828709,20230329041210,31256530,99,18,22,19.4046,-99.14558,3,2.0,1.0,1.0,350.0,1,9,1.0,2.0,1125.0,1125.0,1.3,1125.0,0,0,0,0,19,5,0,4.63,4.63,4.42,4.89,4.95,4.74,4.68,16,2,14,0,0.44
5345,30437834,20230329041210,24427187,50,1,4,19.37903,-99.18818,4,2.0,2.0,3.0,2586.0,4,1125,4.0,5.0,1125.0,1125.0,4.4,1125.0,29,52,82,171,6,0,0,4.67,4.5,4.83,4.83,5.0,4.67,4.67,1,1,0,0,0.12
5348,30829241,20230329041210,32370793,100,1,1,19.39753,-99.1719,5,2.0,3.0,3.0,1800.0,2,365,2.0,2.0,1125.0,1125.0,2.0,1125.0,1,1,17,17,8,8,0,4.88,5.0,4.63,5.0,4.88,5.0,4.75,1,1,0,0,0.84
5349,30208845,20230329041210,101508636,99,20,20,19.40517,-99.17577,3,2.0,2.0,2.0,3193.0,1,365,1.0,1.0,365.0,1125.0,1.0,463.7,11,36,66,184,64,14,0,4.88,4.91,4.92,4.95,4.91,4.89,4.78,20,18,2,0,1.26
