,id,scrape_id,host_id,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
16835,6.70723e+17,20230300000000.0,116980616,100,97.0,162.0,42.01072,3.19025,6,2.0,3.0,4.0,233.0,1,1125,1.0,7.0,7.0,1125.0,5.5,454.1,0,0,0,0,1,1,0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,56,56,0,0,0.13
16837,6.66333e+17,20230300000000.0,34945479,100,2.0,4.0,42.26549942,3.1618601,5,2.0,2.0,4.0,220.0,7,1125,6.0,7.0,1125.0,1125.0,7.0,1125.0,0,0,29,268,6,6,0,5.0,5.0,4.83,5.0,5.0,5.0,4.67,1,1,0,0,0.69
16838,6.75769e+17,20230300000000.0,432584184,99,731.0,976.0,41.8617311,3.0620539,8,3.0,3.0,6.0,223.0,1,365,1.0,1.0,1.0,365.0,1.0,322.0,29,59,89,364,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,28,28,0,0,0.15
16841,6.75789e+17,20230300000000.0,85133022,100,1.0,1.0,42.43075,1.93315,6,2.0,3.0,5.0,111.0,2,365,2.0,2.0,365.0,365.0,2.0,365.0,0,0,0,0,1,1,0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1,1,0,0,0.18
16842,6.66368e+17,20230300000000.0,4629712,99,112.0,173.0,41.88024,3.17719,6,2.0,3.0,5.0,149.0,2,365,4.0,7.0,365.0,365.0,4.4,365.0,0,27,57,115,0,0,0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,110,102,0,0,0.5232000277238703
16846,6.70862e+17,20230300000000.0,50260338,100,19.0,37.0,41.8469484,3.1290534,6,2.0,2.0,4.0,999.0,1,365,1.0,1.0,365.0,365.0,1.0,365.0,0,0,0,0,1,1,0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,19,19,0,0,0.13
16847,6.66438e+17,20230300000000.0,31707257,84,41.0,83.0,41.67550744,2.795754931,6,2.0,3.0,4.0,126.0,7,365,7.0,7.0,365.0,365.0,7.0,365.0,11,37,57,170,1,1,0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,34,34,0,0,0.15
16848,6.75809e+17,20230300000000.0,92581958,100,1.0,1.0,41.9784,3.20764,6,2.0,3.0,3.0,240.0,2,30,2.0,2.0,30.0,30.0,2.0,30.0,23,53,83,347,0,0,0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,1,1,0,0,0.5232000277238703
16850,6.66541e+17,20230300000000.0,227953558,99,73.0,133.0,42.04965,3.19613,6,2.0,3.0,4.0,113.0,1,365,1.0,3.0,365.0,365.0,2.5,365.0,28,58,88,200,0,0,0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,72,72,0,0,0.5232000277238703
16851,6.70875e+17,20230300000000.0,161098636,89,3.0,3.0,42.26707,3.13937,4,2.0,2.0,3.0,70.0,6,30,6.0,6.0,30.0,30.0,6.0,30.0,19,40,70,189,2,2,0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,1,1,0,0,0.26
16853,6.75818e+17,20230300000000.0,1298586,91,127.0,133.0,41.71882,2.9292,9,2.0,4.0,5.0,566.0,2,365,2.0,7.0,365.0,365.0,3.1,365.0,30,60,90,259,3,3,0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,109,106,0,0,0.4
16854,6.75848e+17,20230300000000.0,29020859,100,35.0,74.0,41.96962,3.21038,6,2.0,3.0,4.0,197.0,3,365,1.0,7.0,365.0,365.0,2.0,365.0,0,0,0,62,3,3,0,4.67,5.0,5.0,4.67,4.33,5.0,4.67,29,29,0,0,0.37
16856,6.66547e+17,20230300000000.0,168560765,99,27.0,32.0,42.25178,3.07027,6,2.0,3.0,4.0,360.0,1,365,1.0,7.0,365.0,365.0,4.2,365.0,0,0,27,91,1,1,0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,27,27,0,0,0.13
16858,6.6656e+17,20230300000000.0,227953558,99,73.0,133.0,42.04767,3.19481,6,2.0,3.0,4.0,113.0,1,365,1.0,7.0,365.0,365.0,3.0,365.0,29,59,79,217,0,0,0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,72,72,0,0,0.5232000277238703
16861,6.75927e+17,20230300000000.0,204773412,56,6.0,11.0,41.83260377,3.029188244,8,3.0,4.0,6.0,300.0,6,365,6.0,6.0,365.0,365.0,6.0,365.0,30,60,74,319,0,0,0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,6,6,0,0,0.5232000277238703
16865,6.76182e+17,20230300000000.0,125245492,100,57.0,84.0,42.26571359,3.1748717,6,2.0,3.0,3.0,999.0,1,365,1.0,1.0,365.0,365.0,1.0,365.0,0,0,0,0,2,2,0,4.5,4.5,5.0,5.0,4.5,5.0,4.5,57,57,0,0,0.25
16875,6.71392e+17,20230300000000.0,23446010,89,19.0,29.0,41.95290049,3.226624145,8,3.0,4.0,6.0,389.0,5,365,5.0,7.0,365.0,365.0,5.5,365.0,0,5,22,100,2,2,0,4.5,4.5,4.5,4.5,4.5,5.0,5.0,19,19,0,0,0.28
16877,6.76559e+17,20230300000000.0,85665714,100,1.0,1.0,42.20227384,2.182450108,5,2.0,2.0,4.0,212.0,1,21,1.0,1.0,21.0,21.0,1.0,21.0,30,60,90,365,1,1,0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,1,0,1,0,0.22
